what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286237078397
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286237087067
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1286237109671
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1286237109831
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1286237109887
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286237110240
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286237111732
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286237111957
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286237113689
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286237115746
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286237575462
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286237578888
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286237579999
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286237597352
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1286237600585
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1286237602905
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1286237603763
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1286237604437
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1286237604999
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1286237605558
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286237609220
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286237610572
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286237614977
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286237619524
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1286237619698
started,bundle,org.eclipse.mylyn.ide.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ui",1286237619749
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.BreakpointView",1286237619773
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1286237619831
opened,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.LogCatView",1286237619879
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1286237619910
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.VariableView",1286237620628
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.StepOver",1286237631984
