what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286066811939
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286066812100
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286066812269
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286066812787
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286066815958
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286066818060
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286066839142
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286066841889
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066843771
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1286066843786
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066843789
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066843830
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066844016
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066844027
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066844036
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066844057
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1286066844061
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066844064
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066844074
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066844082
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1286066844086
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066844091
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286066864345
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286066864517
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286066864670
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286066864820
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286066864967
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286066865124
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286066865352
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286066865909
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1286066886231
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066886313
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066886374
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1286066886703
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286066889364
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1286066910781
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286066918163
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1286066930239
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286066930980
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1286066936977
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286066939263
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286066974754
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286066992354
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1286067011029
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1286067018571
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1286067021028
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1286067022717
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286067023564
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1286067029372
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286067030022
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1286067032953
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286067034751
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286067037841
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286067041010
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1286067056613
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067088104
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067088258
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067090329
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067090406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067091248
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067092856
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067094347
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067095606
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067096970
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067100147
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067101170
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067101247
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067101884
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067101908
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067102477
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067106241
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067106679
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067107578
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067108189
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067109212
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067109254
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067109322
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067109784
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067110498
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067110505
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067111531
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286067111612
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1286067111787
