what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076138023
started,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1286076163013
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076164191
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1286076164197
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286076166193
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286076166212
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1286076173490
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1286076176061
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286076183631
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076193919
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076194003
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076201560
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076297195
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076319999
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076325555
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286076325629
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076328138
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076329768
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076330693
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076352477
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076379309
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076382894
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1286076383207
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286076384599
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076389173
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076389247
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1286076391893
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1286076393843
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1286076395355
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1286076404842
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1286076405186
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076412201
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076424277
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1286076424287
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286076427868
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1286076427902
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1286076439587
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1286076439940
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1286076440731
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1286076441116
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1286076441931
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1286076444212
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1286076444340
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1286076446674
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1286076447904
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076448573
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1286076450336
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.ui.texteditor.BookmarkRulerAction",1286076450341
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1286076455528
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1286076455658
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1286076469361
